EmpID,LastName,FirstName,TeamCode,PosCode,PlayerNo,Age,Weight,Height,YearsOfExp,College
38419,Toliver II,Kevin,INC,CB,27,27,192,74,4,LSU
73495,Guidone,Jake,BLR,G,67,24,304,74,0,UConn
72681,Milne,Dax,WSC,WR,15,24,190,72,3,BYU
98485,Gathings,Izaiah,KCC,TE,42,22,222,76,0,Middle Tennessee
67464,Huggins,Albert,ATF,DT,94,26,305,75,3,Clemson
70740,Melton,Bo,GBP,WR,80,24,189,71,1,Rutgers
39391,Murray,Latavius,BFB,RB,28,33,230,75,11,UCF
70576,James,Craig,NYJ,CB,31,27,195,70,3,Southern Illinois
17005,Brooks,Kennedy,PHE,RB,34,24,213,71,1,Oklahoma
42902,Walker,Quay,GBP,LB,7,23,241,76,2,Georgia
27046,Tillery,Jerry,LVR,DT,90,26,295,78,5,Notre Dame
19843,Washington,Broderick,BLR,DT,96,26,305,74,4,Texas Tech
99121,Horton,Dylan,HST,DE,92,23,275,76,0,TCU
68538,Surratt,Chazz,NYJ,LB,55,26,233,74,2,North Carolina
91065,Woodside,Logan,ATF,QB,11,28,213,73,4,Toledo
14047,Turner,Malik,INC,WR,12,27,202,74,5,Illinois
63037,Moffatt,Jovante,AZC,S,38,26,213,71,3,Middle Tennessee
12140,Cole,Mason,PTS,C,61,27,298,77,6,Michigan
37703,Goedert,Dallas,PHE,TE,88,28,256,77,6,South Dakota State
